source,record_id,supplier,inspector,date,cc,model,color,po,po_qty,glove_type,order_type,sampling_size,critical_defects,major_defects,minor_defects,defect_qty,result,result_raw,gtd_issue,visual_issue,functional_issue,liner_issue,size_issue,important_issue,gtd_defects,visual_defects,functional_defects,liner_defects,size_defects,defect_rate,month,risk_level,has_defect,is_fail
Jiandaoyun Gloves / ZX FQC,69b8f3c97503db332cffb25d,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-12 16:00:00+00:00,330572,8615465,黑色,4523867768,288.0,半指,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,线头   重线不良,nan,nan,nan,nan,0.0,3.0,0.0,0.0,0.0,0.6,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b8f5767088908265ccdb91,49425 SHANDONG JIANHUA ZHONGXING GLO,韩永红/3rd,2026-03-16 16:00:00+00:00,124660,8787334,卡其,4523865043,288.0,半指,replenishment翻单,5.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b8fc9624f75b863863c277,49425 SHANDONG JIANHUA ZHONGXING GLO,韩永红/3rd,2026-03-16 16:00:00+00:00,124660,8787334,卡其,4523904716,144.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b901ab2d841303bee7902d,49425 SHANDONG JIANHUA ZHONGXING GLO,韩永红/3rd,2026-03-16 16:00:00+00:00,330572,8615465,黑,4523984249,96.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b9173487d148e72e97e793,49425 SHANDONG JIANHUA ZHONGXING GLO,韩永红/3rd,2026-03-16 16:00:00+00:00,356209,8901065,黑,4523901882,162.0,半指,replenishment翻单,5.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,0,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b9f930077e4e59581e6504,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-16 16:00:00+00:00,343239,8771295,浅灰,4524285366,1170.0,单层,replenishment翻单,5.0,0.0,2.0,3.0,5.0,PASS,PASS合格,nan,卡回针不牢，脏污、线头,nan,nan,nan,卡回针不牢、脏污、线头,0.0,5.0,0.0,0.0,0.0,1.0,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b9fc9c9e457c99d53c355a,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-16 16:00:00+00:00,343239,8827481,紫色,4524294409,240.0,单层,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,止口不良、线头,nan,nan,nan,止口不良、线头,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba164f4417d8aa153d16d0,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-17 16:00:00+00:00,343239,8771295,浅灰,4524297464,1260.0,单层,replenishment翻单,8.0,0.0,3.0,4.0,7.0,PASS,PASS合格,nan,止口不良、扭指、指尖不圆顺、线头,nan,nan,nan,止口不良、扭指、指尖不圆顺、线头,0.0,7.0,0.0,0.0,0.0,0.875,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba45a2970ba7f3ddab77fa,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-17 16:00:00+00:00,343239,8771295,浅灰,4524294813,1290.0,单层,replenishment翻单,8.0,0.0,3.0,3.0,6.0,PASS,PASS合格,nan,止口不良、扭指、线头,nan,nan,nan,止口不良、扭指、线头,0.0,6.0,0.0,0.0,0.0,0.75,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba70853b50a24480d315a7,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-17 16:00:00+00:00,343239,8829988,深灰,4524296749,930.0,单层,replenishment翻单,5.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,扭指、线头,nan,nan,nan,扭指、线头,0.0,4.0,0.0,0.0,0.0,0.8,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba992a77a3cb32620b1288,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-17 16:00:00+00:00,330572,8615465,黑,4523857503,576.0,半指,replenishment翻单,5.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,町缝断线，指叉止口太小，线头,nan,nan,nan,nan,0.0,4.0,0.0,0.0,0.0,0.8,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba995e7689d2fba89606d4,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-17 16:00:00+00:00,356209,8901066,白色,4523857269,520.0,半指,replenishment翻单,5.0,0.0,4.0,3.0,7.0,FAIL,FAIL不合格,nan,指叉止口太小，脏污，线头,nan,nan,nan,nan,0.0,7.0,0.0,0.0,0.0,1.4,2026-03,Critical,True,True
Jiandaoyun Gloves / ZX FQC,69ba996c5d1ea69796dd2b67,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-17 16:00:00+00:00,356209,8901065,黑色,1063437164,162.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba999651d03543dd67656f,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-17 16:00:00+00:00,343239,8827481,紫色,4523857773,180.0,单层,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,nan,nan,nan,nan,大指侧缝止口太小,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69ba99a1077e4e5958a37ae9,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-17 16:00:00+00:00,343239,8827481,紫色,4524294409,240.0,单层,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,指尖不圆顺，线头,nan,nan,nan,指尖不圆顺,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
